mill_name_,latitude,longitude,iso,certificat,group_name
Citra Riau Sarana,-0.2134,101.4743,IDN,None,Unknown
GIRAM OIL MILL,4.6863,118.2519,MYS,None,Unknown
Kian Hoe Plantations,2.0107,103.2823,MYS,None,Unknown
Lenga Palm Oil Industries,2.2712,102.533,MYS,None,Unknown
Hargy,-5.3167,151.0333,PNG,None,Unknown
Kilang Sawit PPNJ Kahang,2.1714,103.4797,MYS,None,Unknown
Kerdau Palm Oil Mill,3.634,102.4065,MYS,None,Unknown
Tennamaram Palm Oil Mill,3.3724,101.3658,MYS,None,Unknown
Bukit Kerayong Palm Oil Mill,3.1859,101.3693,MYS,None,Unknown
Bukit Puteri Palm Oil Mill,4.2048,101.7752,MYS,None,Unknown
Sarawak Plantation Agriculture Development (Niah Mill),4.4056,113.9922,MYS,None,Unknown
Bau Palm Oil Mill,1.4901,109.9852,MYS,None,Unknown
Saratok Palm Oil Mill,1.7062,111.3844,MYS,None,Unknown
Melur Gemilang Palm Oil Mill,1.1862,110.9033,MYS,None,Unknown
Arah Bersama,3.8,113.75,MYS,None,Unknown
JT Oil Development,2.4945,111.3689,MYS,None,Unknown
Alambumi Palm Oil Mill,3.6563,113.7194,MYS,None,Unknown
Mukah Kilang Kelapa Sawit,2.9762,112.3815,MYS,None,Unknown
Tetangga Akrab Palm Oil Mill,1.0786,111.1389,MYS,None,Unknown
Seatex Development,3.7944,113.6308,MYS,None,Unknown
Hadapan Palm Oil Mill,1.8143,103.4798,MYS,None,Unknown
Sungai Terah Palm Oil Mill,4.9779,101.9551,MYS,None,Unknown
Taclico Company,5.5156,100.5507,MYS,None,Unknown
United Oil Palm Industries,5.2019,100.4621,MYS,None,Unknown
Wilmar Edible Oils,5.4168,100.3919,MYS,None,Unknown
Bakrie Sumatera Plantations,2.9995,99.2168,IDN,None,Unknown
Cisadane Sawit Raya,2.23,100.19,IDN,None,Unknown
Daya Labuhan Indah,2.286,100.1407,IDN,None,Unknown
Asam Jawa,1.9006,100.1866,IDN,None,Unknown
Kuala Mas Sawit Abadi,1.8122,100.0254,IDN,None,Unknown
Graha Dura Leidong Prima,2.5845,99.7844,IDN,None,Unknown
Tri Bahtera Srikandi,0.4643,99.3686,IDN,None,Unknown
Sibisa Mangatur,1.6061,100.2383,IDN,None,Unknown
